location_id,city,months_tracked,avg_monthly_revenue,avg_growth_rate_percent,lowest_month,highest_month
LOC_014,Chicago,24,150268.36,2.49,124201.09490643392,183565.2876721249
LOC_041,Miami,24,48825.96,2.38,38348.12579908625,67356.26751604264
LOC_043,Los Angeles,24,194388.64,2.38,157282.0998992186,244505.447834842
LOC_049,Houston,24,84647.5,2.36,69519.77335124771,107820.38407247992
LOC_009,Miami,24,61426.54,2.29,49459.67014288038,76577.85223790968
LOC_013,Houston,24,55476.7,2.24,43892.00971079771,69209.74159549431
LOC_012,Houston,24,107767.62,2.23,84937.50299667248,134448.83869500068
LOC_036,Chicago,24,231579.11,2.2,186809.66525921944,295131.3423603118
LOC_037,Miami,24,69380.12,2.15,56677.24319999534,84922.29804444872
LOC_023,Houston,24,44900.36,2.14,34551.041365535064,55537.85788825829
LOC_035,Chicago,24,141892.69,2.14,118986.93171655224,177564.2249929415
LOC_032,Houston,24,171627.74,2.13,138921.3027497094,221688.5028381316
LOC_039,Los Angeles,24,378254.92,2.11,323120.3133722446,468497.3945737063
LOC_005,New York,24,83078.1,2.1,67446.61498885514,107733.7626750345
LOC_008,Los Angeles,24,65812.09,2.1,54945.359800301405,79966.64324455748
